steps,L_inf_cipher_plain_LW,L_inf_cipher_plain_FD
1.0,2.8310687127941492e-14,1.9317880628477724e-14
2.0,2.3425705819590803e-14,1.509903313490213e-14
3.0,2.1871393585115584e-14,1.6209256159527285e-14
4.0,2.042810365310288e-14,1.2656542480726785e-14
5.0,2.0539125955565396e-14,1.3766765505351941e-14
6.0,1.8485213360008856e-14,1.1102230246251565e-14
7.0,1.9206858326015208e-14,9.769962616701378e-15
8.0,2.2315482794965646e-14,1.0547118733938987e-14
9.0,1.5765166949677223e-14,1.1435297153639112e-14
10.0,1.709743457922741e-14,9.992007221626409e-15
11.0,2.1815882433884326e-14,1.0103029524088925e-14
12.0,1.8207657603852567e-14,1.0436096431476471e-14
13.0,1.942890293094024e-14,1.2101430968414206e-14
14.0,1.509903313490213e-14,9.769962616701378e-15
15.0,1.6403545188836688e-14,7.66053886991358e-15
16.0,1.7208456881689926e-14,7.716050021144838e-15
17.0,1.8096635301390052e-14,8.104628079763643e-15
18.0,1.63202784619898e-14,9.270362255620057e-15
19.0,2.0539125955565396e-14,8.215650382226158e-15
20.0,1.8207657603852567e-14,9.2148511043888e-15
21.0,1.7430501486614958e-14,7.882583474838611e-15
22.0,1.5987211554602254e-14,8.326672684688674e-15
23.0,1.6653345369377348e-14,8.326672684688674e-15
24.0,1.5765166949677223e-14,6.2727600891321345e-15
25.0,1.63202784619898e-14,8.881784197001252e-15
26.0,1.709743457922741e-14,1.021405182655144e-14
27.0,2.275957200481571e-14,7.993605777301127e-15
28.0,1.5432100042289676e-14,6.772360450213455e-15
29.0,1.8318679906315083e-14,7.771561172376096e-15
30.0,1.983135877736686e-14,7.216449660063518e-15
31.0,1.6681100944992977e-14,6.8833827526759706e-15
32.0,1.7319479184152442e-14,9.43689570931383e-15
33.0,1.709743457922741e-14,7.771561172376096e-15
34.0,1.765254609153999e-14,7.549516567451064e-15
35.0,1.8984813721090177e-14,6.106226635438361e-15
36.0,1.7430501486614958e-14,8.43769498715119e-15
