steps,L_inf_cipher_plain_LW
1.0,3.5293989952833726e-13
2.0,3.3975600111091353e-13
3.0,3.247402347028583e-13
4.0,3.0960303765148467e-13
5.0,2.9637403642368554e-13
6.0,2.447833602481353e-13
7.0,2.535194276731545e-13
8.0,2.489120021209601e-13
9.0,2.431388423929093e-13
10.0,2.19824158875781e-13
11.0,2.0056178939853453e-13
12.0,2.153277556260491e-13
13.0,2.2409851752058785e-13
14.0,1.8429702208777599e-13
15.0,1.8021695247227854e-13
16.0,2.0003443346183758e-13
17.0,1.6864287744056128e-13
18.0,1.6620038678638593e-13
19.0,1.8879342533750787e-13
20.0,1.576239139211566e-13
21.0,3.018238992069655e-10
22.0,3.0234659220695903e-10
23.0,3.0028801667469907e-10
24.0,3.003230997222772e-10
25.0,3.0186997346248745e-10
26.0,3.0151070529171875e-10
27.0,3.025573125370329e-10
28.0,3.0182401022926797e-10
29.0,3.00631741723123e-10
30.0,3.016115135423547e-10
31.0,5.878050268748325e-10
32.0,5.875343545014289e-10
33.0,5.867613062093824e-10
34.0,5.867170083106998e-10
35.0,5.85746562364875e-10
36.0,5.870725017231848e-10
37.0,5.857582197066336e-10
38.0,5.863722840615537e-10
39.0,5.871085839714851e-10
40.0,5.853816320566807e-10
41.0,8.721352529050819e-10
42.0,8.731786405036246e-10
43.0,8.717605526342709e-10
44.0,8.717199184715696e-10
45.0,8.720144606400027e-10
46.0,8.720099087256017e-10
47.0,8.705623999460954e-10
48.0,8.737413015325046e-10
49.0,8.703180398583754e-10
50.0,8.708868071138909e-10
51.0,1.1593503934648197e-9
52.0,1.1608862759970862e-9
53.0,1.1573744185255919e-9
54.0,1.1552814260795685e-9
55.0,1.156212903197229e-9
56.0,1.1584676551379403e-9
57.0,1.1562429902411964e-9
58.0,1.1556460233208554e-9
59.0,1.159688456375818e-9
60.0,1.1586243076067149e-9
61.0,1.4434783368599824e-9
62.0,1.4408574333657498e-9
63.0,1.4431222883359851e-9
64.0,1.4433950701331355e-9
65.0,1.4434758943693282e-9
66.0,1.443853925309213e-9
67.0,1.4419339056104263e-9
68.0,1.4464375253098183e-9
69.0,1.4438540363315155e-9
70.0,1.440908614647185e-9
71.0,1.7284119691041155e-9
72.0,1.7301915455902872e-9
73.0,1.729940191097512e-9
74.0,1.7265727736415215e-9
75.0,1.7294291554392771e-9
76.0,1.7288198650433628e-9
77.0,1.72742886661581e-9
78.0,1.7275458841226055e-9
79.0,1.7304626620529007e-9
80.0,1.7310877176157646e-9
81.0,2.015953182166186e-9
82.0,2.0128700928268017e-9
83.0,2.0144751422535023e-9
84.0,2.0132809863682155e-9
85.0,2.014717059850568e-9
86.0,2.0113337662053254e-9
87.0,2.0139924172823953e-9
88.0,2.0156213365041253e-9
89.0,2.0137941314501973e-9
90.0,2.011806277124606e-9
91.0,2.2991960557661173e-9
92.0,2.3005541915921413e-9
93.0,2.2992995285520124e-9
94.0,2.2976794911144793e-9
95.0,2.3020736428236432e-9
96.0,2.3033235319047662e-9
97.0,2.3003818849787194e-9
98.0,2.2965642720862434e-9
99.0,2.301122514758447e-9
100.0,2.302825374833617e-9
101.0,2.5858829522107385e-9
102.0,2.5848501117309297e-9
103.0,2.585247682596048e-9
104.0,2.5887729737661402e-9
105.0,2.5851887297534404e-9
106.0,2.5834505645860872e-9
107.0,2.58726307045265e-9
108.0,2.5862746388938262e-9
109.0,2.589781833428617e-9
110.0,2.5829518524034256e-9
111.0,2.8693946108049317e-9
112.0,2.8750146707778867e-9
113.0,2.8703762700033053e-9
114.0,2.869287141216148e-9
115.0,2.8706637067443808e-9
116.0,2.8723033951294497e-9
117.0,2.8715004818380407e-9
118.0,2.868522863685996e-9
119.0,2.8714857158718132e-9
120.0,2.872356019700817e-9
121.0,3.1559423963045674e-9
122.0,3.1576291581458804e-9
123.0,3.155007588517833e-9
124.0,3.159117745177298e-9
125.0,3.1590514648627277e-9
