N_adds,error_ciph_by_ciph_uncorrelated,error_ciph_by_ciph_correlated,error_ciph_by_plain,error_ciph_by_scalar,mult_depth_range,time_ciph_by_ciph,time_ciph_by_plain,time_ciph_by_scalar,N_time
1,5.88418203051333e-14,4.6629367034256575e-14,3.5416114485542494e-14,4.6407322429331543e-14,23.0,0.018084140400000004,0.016650762800000003,0.010017361200000002,5.0
2,6.994405055138486e-14,8.504308368628699e-14,2.930988785010413e-14,2.731148640577885e-14,28.0,0.0207961058,0.0208822404,0.011926941199999999,5.0
3,6.927791673660977e-14,1.270095140171179e-13,3.6415315207705135e-14,2.5757174171303632e-14,33.0,0.025012446799999997,0.023414242200000004,0.0139396626,5.0
4,9.50350909079134e-14,1.8829382497642655e-13,3.8191672047105385e-14,3.2862601528904634e-14,38.0,0.028529463600000006,0.0272332758,0.0158473184,5.0
5,9.769962616701378e-14,1.3677947663381929e-13,3.6415315207705135e-14,3.2862601528904634e-14,43.0,0.031580715800000006,0.030595374400000003,0.017904800800000002,5.0
6,7.815970093361102e-14,1.865174681370263e-13,2.930988785010413e-14,3.197442310920451e-14,0.0,0.0,0.0,0.0,5.0
7,1.0835776720341528e-13,2.913225216616411e-13,3.375077994860476e-14,3.375077994860476e-14,0.0,0.0,0.0,0.0,5.0
8,1.1368683772161603e-13,2.5579538487363607e-13,3.552713678800501e-14,3.552713678800501e-14,0.0,0.0,0.0,0.0,5.0
9,1.438849039914203e-13,2.9665159217984183e-13,4.440892098500626e-14,4.085620730620576e-14,0.0,0.0,0.0,0.0,5.0
10,1.5631940186722204e-13,3.9968028886505635e-13,3.730349362740526e-14,2.6645352591003757e-14,0.0,0.0,0.0,0.0,5.0
11,1.1368683772161603e-13,3.4638958368304884e-13,5.1514348342607263e-14,3.197442310920451e-14,0.0,0.0,0.0,0.0,5.0
12,1.5631940186722204e-13,3.5349501104064984e-13,2.842170943040401e-14,4.263256414560601e-14,0.0,0.0,0.0,0.0,5.0
13,1.474376176702208e-13,4.600764214046649e-13,3.375077994860476e-14,4.440892098500626e-14,0.0,0.0,0.0,0.0,5.0
14,1.4210854715202004e-13,5.240252676230739e-13,3.907985046680551e-14,3.907985046680551e-14,0.0,0.0,0.0,0.0,5.0
15,1.6697754290362354e-13,6.039613253960852e-13,4.263256414560601e-14,4.973799150320701e-14,0.0,0.0,0.0,0.0,5.0
