N_boots,error,precision_bits,mult_depth_range,time,N_time
1,1.5791846785795371e-6,19.272388671532568,23.0,35.2856720084,5.0
2,1.7274908754583151e-6,19.142890478951337,28.0,48.26097934300001,5.0
3,1.5036660470646446e-6,19.343084378466195,33.0,61.09050320220001,5.0
4,1.4107164738597078e-6,19.435140505455944,38.0,73.8912187078,5.0
5,1.2756166333227625e-6,19.580373754567578,43.0,86.787235805,5.0
6,1.6919095248701943e-6,19.17291614714943,0.0,0.0,5.0
7,1.4443685730780587e-6,19.40112963409231,0.0,0.0,5.0
8,1.2403117082282478e-6,19.620865833064986,0.0,0.0,5.0
9,1.4142784767467997e-6,19.431502349130696,0.0,0.0,5.0
10,1.3360151628338812e-6,19.51363218784371,0.0,0.0,5.0
11,1.430664422485961e-6,19.414883257001396,0.0,0.0,5.0
12,1.195814561219859e-6,19.673574885767184,0.0,0.0,5.0
13,1.1108006775506496e-6,19.77996860705958,0.0,0.0,5.0
14,1.7076313140185206e-6,19.159572045684893,0.0,0.0,5.0
15,1.0436759059206935e-6,19.86989478989807,0.0,0.0,5.0
