N_boots,error,precision_bits,mult_depth_range,time,N_time
1,3.1554037160930193e-10,31.561456347170132,23.0,70.2051115086,5.0
2,3.16280668322122e-10,31.558075570596962,28.0,96.62534772100001,5.0
3,3.161840789189796e-10,31.55851622457683,33.0,122.6237700028,5.0
4,3.1546620871125697e-10,31.56179547024446,38.0,145.44832542540001,5.0
5,3.144792204423652e-10,31.56631625626878,43.0,172.95298300160002,5.0
6,3.145230742518379e-10,31.566115087929376,0.0,0.0,5.0
7,3.1571945058317397e-10,31.56063780512015,0.0,0.0,5.0
8,3.154272398830926e-10,31.56197369411202,0.0,0.0,5.0
9,3.154285721507222e-10,31.56196760062484,0.0,0.0,5.0
10,3.163794781713136e-10,31.557624925866552,0.0,0.0,5.0
11,3.155719019432013e-10,31.561312193242856,0.0,0.0,5.0
12,3.1529534538776716e-10,31.56257707677674,0.0,0.0,5.0
13,3.147407889869669e-10,31.565116791349574,0.0,0.0,5.0
14,3.1597102712055403e-10,31.55948867194534,0.0,0.0,5.0
15,3.1509816977859373e-10,31.563479574267504,0.0,0.0,5.0
