N_enc_dec,error,mult_depth_range,time_encrypt,time_decrypt,N_time
1,3.219646771412954e-14,23.0,0.32655073700000004,0.4879582672000001,5.0
2,3.907985046680551e-14,28.0,0.3917289392,0.6305857368,5.0
3,5.3290705182007514e-14,33.0,0.4525720446,0.7951882256,5.0
4,6.572520305780927e-14,38.0,0.5220402804000001,0.9800908232000001,5.0
5,7.027711745877241e-14,43.0,0.5872509340000001,1.110938218,5.0
6,8.737455203799982e-14,0.0,0.0,0.0,5.0
7,8.326672684688674e-14,0.0,0.0,0.0,5.0
8,7.682743330406083e-14,0.0,0.0,0.0,5.0
9,8.903988657493755e-14,0.0,0.0,0.0,5.0
10,1.1590728377086634e-13,0.0,0.0,0.0,5.0
11,1.3278267374516872e-13,0.0,0.0,0.0,5.0
12,1.255662240851052e-13,0.0,0.0,0.0,5.0
13,1.1368683772161603e-13,0.0,0.0,0.0,5.0
14,1.4577228313328305e-13,0.0,0.0,0.0,5.0
15,1.5010215292932116e-13,0.0,0.0,0.0,5.0
