ring_dims_range,performance,runtime,ring_dim_cache
1024,1.8727071225050386e7,0.0001093604,32768.0
2048,2.0585583457553793e7,0.0001989742,32768.0
4096,1.9317146419819694e7,0.0004240792,32768.0
8192,1.900707962671692e7,0.0008619946,32768.0
16384,1.2113010603615921e7,0.0027051904000000002,32768.0
32768,1.1654666346229734e7,0.0056231554000000005,32768.0
65536,1.1596469680449985e7,0.0113027502,32768.0
131072,1.1809339745087393e7,0.022198023400000003,32768.0
262144,1.1827314494872373e7,0.044328575200000005,32768.0
524288,1.1902894207179448e7,0.0880942048,32768.0
1048576,1.2029369762442408e7,0.1743359828,32768.0
