N_mults,error_ciph_by_ciph_uncorrelated,error_ciph_by_ciph_correlated,error_ciph_by_plain,error_ciph_by_scalar,mult_depth_range,time_ciph_by_ciph,time_ciph_by_plain,time_ciph_by_scalar,N_time
1,4.884981308350689e-14,4.141131881851834e-14,2.7755575615628914e-14,3.4638958368304884e-14,23.0,1.0147314242000003,0.1707700064,0.0673311986,5.0
2,4.729550084903167e-14,4.618527782440651e-14,3.497202527569243e-14,3.597122599785507e-14,28.0,1.3187724390000002,0.22371051760000005,0.10235047540000002,5.0
3,6.671668373626349e-14,1.1457501614131615e-13,3.530509218307998e-14,4.327107584289041e-14,33.0,1.6135046754000002,0.2767901526,0.13714128720000002,5.0
4,6.88338275267597e-14,1.4277468096679513e-13,5.306866057708248e-14,4.696243394164412e-14,38.0,1.8756205454000003,0.3297087128,0.1721536498,5.0
5,7.882583474838611e-14,1.7408297026122455e-13,6.13398221105399e-14,6.017408793468348e-14,43.0,2.2039379056,0.3827839262,0.20697173340000002,5.0
6,1.461053500406706e-13,2.4491519923230953e-13,6.461498003318411e-14,5.240252676230739e-14,0.0,0.0,0.0,0.0,5.0
7,1.2234657731369225e-13,3.1863400806741993e-13,5.773159728050814e-14,6.050715484207103e-14,0.0,0.0,0.0,0.0,5.0
8,1.4765966227514582e-13,5.146993942162226e-13,1.1324274851176597e-13,7.482903185973555e-14,0.0,0.0,0.0,0.0,5.0
9,1.978417429882029e-13,4.996003610813204e-13,8.326672684688674e-14,8.79296635503124e-14,0.0,0.0,0.0,0.0,5.0
10,2.864375403532904e-13,6.443734434924409e-13,6.616929226765933e-14,9.85878045867139e-14,0.0,0.0,0.0,0.0,5.0
11,2.3780977187470853e-13,6.621370118864434e-13,1.3233858453531866e-13,9.370282327836321e-14,0.0,0.0,0.0,0.0,5.0
12,3.0242475190789264e-13,1.1324274851176597e-12,1.1368683772161603e-13,9.425793479067579e-14,0.0,0.0,0.0,0.0,5.0
13,3.5083047578154947e-13,1.0205170042354439e-12,1.0969003483296547e-13,9.459100169806334e-14,0.0,0.0,0.0,0.0,5.0
14,3.9257486150745535e-13,1.3367085216486885e-12,1.3733458814613186e-13,1.0524914273446484e-13,0.0,0.0,0.0,0.0,5.0
15,5.120348589571222e-13,1.4197532038906502e-12,1.638689184346731e-13,1.4912602098408545e-13,0.0,0.0,0.0,0.0,5.0
