N_rotates,error_rotate_1,error_rotate_5,error_rotate_25,mult_depth_range,time_rotate_1,time_rotate_5,time_rotate_25,N_time
1,3.419486915845482e-14,4.39648317751562e-14,3.2807090377673376e-14,23.0,0.7675366964000001,0.7653241166,0.7678266926000001,5.0
2,2.6645352591003757e-14,3.574918139293004e-14,2.7700064464397656e-14,28.0,1.0209537112000002,1.0191838250000003,1.0179861394,5.0
3,3.341771304121721e-14,3.4861002973229915e-14,4.296563105299356e-14,33.0,1.2358524444,1.2412931788000001,1.242550132,5.0
4,2.6645352591003757e-14,3.597122599785507e-14,3.752553823233029e-14,38.0,1.4498252242,1.4507007798,1.4502373004000002,5.0
5,3.5138558729386205e-14,3.26405569239796e-14,3.68594044175552e-14,43.0,1.706541395,1.7074043542000001,1.7064015172000002,5.0
6,3.7414515929867775e-14,3.042011087472929e-14,3.6193270602780103e-14,0.0,0.0,0.0,0.0,5.0
7,2.6423307986078726e-14,3.630429290524262e-14,4.596323321948148e-14,0.0,0.0,0.0,0.0,5.0
8,2.7200464103316335e-14,4.3853809472693683e-14,3.2807090377673376e-14,0.0,0.0,0.0,0.0,5.0
9,3.863576125695545e-14,2.786659791809143e-14,4.579669976578771e-14,0.0,0.0,0.0,0.0,5.0
10,3.008704396734174e-14,3.175237850427948e-14,4.235500838944972e-14,0.0,0.0,0.0,0.0,5.0
11,3.275157922644212e-14,3.2307490016592055e-14,3.5638159090467525e-14,0.0,0.0,0.0,0.0,5.0
12,3.4083846855992306e-14,3.3306690738754696e-14,3.552713678800501e-14,0.0,0.0,0.0,0.0,5.0
13,3.9190872769268026e-14,3.275157922644212e-14,3.2085445411667024e-14,0.0,0.0,0.0,0.0,5.0
14,3.5915714846623814e-14,3.606465674067583e-14,3.2307490016592055e-14,0.0,0.0,0.0,0.0,5.0
15,3.785860513971784e-14,3.4916514124461173e-14,2.930988785010413e-14,0.0,0.0,0.0,0.0,5.0
